plot,slope.position,age,biomass,diversity,recruitment
1,LS,4,38.17841533,40,147
1,LS,5,32.56408393,41,145
1,LS,6,49.76264361,48.5,110
1,LS,8,31.10896492,56,157
2,US,4,29.41840759,30,180
2,US,5,19.80277854,38,181
2,US,6,47.27735152,33,118
2,US,8,14.4374808,43,186
3,LS,4,27.89026712,33.5,181
3,LS,5,15.99098229,44.5,329
3,LS,6,40.67933292,39,93
3,LS,8,19.25748629,39,232
4,US,4,15.9297173,23,259
4,US,5,5.471905515,35,451
4,US,6,4.949644151,28,176
4,US,8,45.8670012,39,145
5,LS,4,31.07138835,48,178
5,LS,6,54.84544464,53,126
6,US,5,44.9776736,30,84
7,LS,5,53.23142043,48,122
8,US,5,46.44566901,37,95
9,LS,4,21.36601545,41,243
9,LS,6,34.12026494,42,197
10,US,4,18.43101307,47,241
10,US,6,42.30731465,51,136
11,LS,5,23.95925162,42.5,184
12,US,5,4.930725819,28,294
15,LS,12,65.39126921,62,90
15,LS,13,81.81479804,67,87
15,LS,14,66.56943714,68,103
15,LS,15,96.32801861,72,57
15,LS,17,117.3855353,72,37
16,US,12,57.49256428,62,123
16,US,13,63.8261119,66,89
16,US,14,66.60337745,64,84
16,US,15,83.55322855,63,94
16,US,17,55.82644258,69,85
17,LS,7,40.40133458,45,149
17,LS,8,46.16419515,48,138
17,LS,9,34.29926028,51,170
17,LS,10,72.5708492,65,75
17,LS,12,72.30437154,65,83
18,US,7,32.30222094,39,165
18,US,8,43.97741648,41,116
18,US,9,43.56282077,45,151
18,US,10,29.86303407,43,219
18,US,12,18.25605071,45,254
19,LS,5,25.26981437,38.5,185
19,LS,6,30.5177657,39,216
19,LS,7,35.11488558,40.5,169
19,LS,8,21.83481922,49.5,259
19,LS,10,32.112111,63,207
20,US,5,39.90620228,33,164
20,US,6,53.57363747,28,129
20,US,7,59.05752619,33,89
20,US,8,54.7972429,35,115
20,US,10,61.51416155,39,94
21,LS,18,112.0665683,74,40
21,LS,19,86.14535546,75,56
21,LS,20,113.1390213,75,38
21,LS,21,100.3934771,74,46
