DateTime,Chennai,Delhi,Hyderabad,Kolkata,Mumbai,Time,Part
1/6/16 1:00,20,34,32,41,16,100,1.EarlyMorning
1/6/16 2:00,32,43,40,33,13,200,1.EarlyMorning
1/6/16 3:00,36,74,39,28,9,300,1.EarlyMorning
1/6/16 4:00,27,52,33,18,8,400,1.EarlyMorning
1/6/16 5:00,31,46,35,22,16,500,1.EarlyMorning
1/6/16 6:00,33,38,35,23,14,600,1.EarlyMorning
1/6/16 7:00,27,46,30,30,12,700,2.Morning
1/6/16 8:00,28,38,42,27,14,800,2.Morning
1/6/16 9:00,31,48,43,24,25,900,2.Morning
1/6/16 10:00,27,52,34,22,26,1000,2.Morning
1/6/16 11:00,NA,37,54,32,25,1100,2.Morning
1/6/16 12:00,NA,34,44,31,30,1200,2.Morning
1/6/16 13:00,NA,44,48,25,30,1300,3.Afternoon
1/6/16 14:00,NA,45,61,30,21,1400,3.Afternoon
1/6/16 15:00,NA,36,60,29,42,1500,3.Afternoon
1/6/16 16:00,NA,35,41,37,24,1600,3.Afternoon
1/6/16 17:00,30,44,59,36,26,1700,3.Afternoon
1/6/16 18:00,NA,55,66,40,26,1800,3.Afternoon
1/6/16 19:00,NA,59,54,34,29,1900,4.Evening
1/6/16 20:00,NA,70,66,44,30,2000,4.Evening
1/6/16 21:00,NA,65,90,31,23,2100,4.Evening
1/6/16 22:00,38,36,71,31,17,2200,4.Evening
1/6/16 23:00,48,26,68,30,17,2300,4.Evening
1/6/16 23:59,39,41,61,29,18,2400,4.Evening
2/6/16 1:00,NA,43,47,33,13,100,1.EarlyMorning
2/6/16 2:00,NA,47,53,32,24,200,1.EarlyMorning
2/6/16 3:00,22,65,38,32,15,300,1.EarlyMorning
2/6/16 4:00,24,37,48,29,13,400,1.EarlyMorning
2/6/16 5:00,20,34,43,32,15,500,1.EarlyMorning
2/6/16 6:00,20,35,39,35,11,600,1.EarlyMorning
2/6/16 7:00,NA,32,41,33,17,700,2.Morning
2/6/16 8:00,NA,92,41,23,14,800,2.Morning
2/6/16 9:00,28,68,46,27,13,900,2.Morning
2/6/16 10:00,44,68,40,24,10,1000,2.Morning
2/6/16 11:00,35,65,48,31,16,1100,2.Morning
2/6/16 12:00,NA,55,41,35,22,1200,2.Morning
2/6/16 13:00,NA,44,38,35,12,1300,3.Afternoon
2/6/16 14:00,NA,28,45,43,22,1400,3.Afternoon
2/6/16 15:00,NA,37,37,NA,19,1500,3.Afternoon
2/6/16 16:00,NA,20,52,44,22,1600,3.Afternoon
2/6/16 17:00,NA,29,49,46,18,1700,3.Afternoon
2/6/16 18:00,57,24,48,40,22,1800,3.Afternoon
2/6/16 19:00,25,34,55,41,NA,1900,4.Evening
2/6/16 20:00,37,50,49,42,19,2000,4.Evening
2/6/16 21:00,38,54,41,50,23,2100,4.Evening
2/6/16 22:00,24,65,34,44,15,2200,4.Evening
2/6/16 23:00,32,64,42,40,15,2300,4.Evening
2/6/16 23:59,34,76,31,28,17,2400,4.Evening
3/6/16 1:00,29,75,33,27,13,100,1.EarlyMorning
3/6/16 2:00,21,96,35,30,14,200,1.EarlyMorning
3/6/16 3:00,23,81,32,25,8,300,1.EarlyMorning
3/6/16 4:00,14,81,30,26,7,400,1.EarlyMorning
3/6/16 5:00,30,118,29,20,15,500,1.EarlyMorning
3/6/16 6:00,26,107,31,26,12,600,1.EarlyMorning
3/6/16 7:00,26,108,38,37,11,700,2.Morning
3/6/16 8:00,39,122,37,33,13,800,2.Morning
3/6/16 9:00,36,126,45,33,8,900,2.Morning
3/6/16 10:00,56,122,39,34,20,1000,2.Morning
3/6/16 11:00,41,99,47,33,16,1100,2.Morning
3/6/16 12:00,42,94,53,38,20,1200,2.Morning
3/6/16 13:00,42,77,42,39,NA,1300,3.Afternoon
3/6/16 14:00,43,58,45,32,7,1400,3.Afternoon
3/6/16 15:00,32,48,44,33,18,1500,3.Afternoon
3/6/16 16:00,31,38,49,35,21,1600,3.Afternoon
3/6/16 17:00,27,63,61,42,16,1700,3.Afternoon
3/6/16 18:00,44,54,78,41,21,1800,3.Afternoon
3/6/16 19:00,47,55,208,38,23,1900,4.Evening
3/6/16 20:00,50,74,87,35,12,2000,4.Evening
3/6/16 21:00,48,89,65,35,18,2100,4.Evening
3/6/16 22:00,56,84,53,37,17,2200,4.Evening
3/6/16 23:00,44,97,44,38,20,2300,4.Evening
3/6/16 23:59,21,97,37,36,18,2400,4.Evening
4/6/16 1:00,20,99,41,33,18,100,1.EarlyMorning
4/6/16 2:00,14,89,27,38,16,200,1.EarlyMorning
4/6/16 3:00,25,93,28,27,39,300,1.EarlyMorning
4/6/16 4:00,30,78,30,25,13,400,1.EarlyMorning
4/6/16 5:00,30,76,32,26,11,500,1.EarlyMorning
4/6/16 6:00,24,85,27,28,9,600,1.EarlyMorning
4/6/16 7:00,36,79,36,18,16,700,2.Morning
4/6/16 8:00,26,115,31,24,12,800,2.Morning
4/6/16 9:00,30,129,33,25,10,900,2.Morning
4/6/16 10:00,27,82,30,28,13,1000,2.Morning
4/6/16 11:00,31,70,29,27,16,1100,2.Morning
4/6/16 12:00,35,59,37,32,17,1200,2.Morning
4/6/16 13:00,34,45,28,30,19,1300,3.Afternoon
4/6/16 14:00,38,48,29,39,22,1400,3.Afternoon
4/6/16 15:00,32,71,41,31,9,1500,3.Afternoon
4/6/16 16:00,32,76,44,34,16,1600,3.Afternoon
4/6/16 17:00,38,42,41,31,17,1700,3.Afternoon
4/6/16 18:00,39,45,40,37,16,1800,3.Afternoon
4/6/16 19:00,46,59,62,27,21,1900,4.Evening
4/6/16 20:00,67,71,47,37,17,2000,4.Evening
4/6/16 21:00,41,79,38,33,22,2100,4.Evening
4/6/16 22:00,29,85,32,31,24,2200,4.Evening
4/6/16 23:00,28,62,35,32,14,2300,4.Evening
4/6/16 23:59,30,51,42,41,15,2400,4.Evening
