Symbol,X1.Jan.18,X2.Jan.18,X3.Jan.18,X4.Jan.18,X5.Jan.18
A,66.97,67.6,69.32,68.8,69.9
AA,53.87,55.17,54.5,54.7,54.09
AAC,9,9.27,9.25,9.32,9.12
AAN,39.85,39.47,39.67,39.83,39.94
AAP,99.69,106.09,107.05,111,112.18
AAT,38.24,38.16,37.82,37.12,37.14
AB,25.05,25.2,25.45,25.85,26.2
ABB,26.82,27.02,27.22,27.45,27.63
ABBV,96.71,98.41,99.95,99.38,101.11
ABC,91.82,94.04,94.39,94.18,95.32
ABEV,6.46,6.61,6.65,6.64,6.67
ABG,64,63.25,63.5,64.1,66.55
ABM,37.72,37.75,37.72,38.33,39.02
ABR,8.64,8.64,8.57,8.55,8.56
ABT,57.07,58.79,58.92,58.82,58.99
ABX,14.47,15.2,15,15.03,14.95
AC,34.1,34.15,34.2,34.3,34.15
ACC,41.03,40.99,40.31,39.59,39.64
ACCO,12.2,12.5,12.15,12.3,12.35
ACH,17.93,18.9,19.32,19.35,19.37
ACM,37.15,37.72,38.61,38.95,38.28
ACN,153.09,153.84,154.55,156.38,157.67
ACP,14.03,14.13,14.25,14.39,14.54
ACRE,12.9,12.79,12.55,12.55,12.59
ACV,21.84,22.06,22.2,22.26,22.27
ADC,51.44,51.43,51.34,50.51,50.57
ADM,40.08,40.09,39.78,40.45,40.18
ADNT,78.7,79.29,78.48,82.36,83.87
ADS,253.48,255.33,260.07,264.05,264.76
ADSW,23.94,23.45,23.63,23.78,23.72
ADX,15.03,15.1,15.22,15.35,15.38
AEB,24.19,24.26,24.24,24.3,24.4
AED,25.95,25.76,25.76,25.765,25.81
AEE,58.99,58.39,58.09,57.43,57.39
AEG,6.3,6.34,6.34,6.41,6.42
AEH,25.82,25.73,25.74,25.67,25.73
AEL,30.73,30.82,30.81,31.57,31.87
AEM,46.18,46.73,46.46,46.86,47.02
AEO,18.8,19.17,18.32,18.25,18.06
AEP,73.57,72.41,71.8,70.95,70.8
AER,52.61,52.63,52.68,52.97,53.27
AES,10.83,10.88,10.87,10.83,10.87
AFB,13.4,13.43,13.55,13.45,13.42
AFC,25.48,25.42,25.33,25.47,25.48
AFG,108.54,106.77,107.09,106.95,107.19
AFGE,26.22,25.76,25.91,25.9,25.98
AFGH,26.22,25.85,25.9,26.15,26.29
AFI,16.92,17.26,17.01,17.09,16.98
AFT,16.22,16.34,16.37,16.34,16.33
AG,6.74,7.22,7.04,7.05,6.96
AGCO,71.43,71.63,72.02,72.06,72.54
AGD,10.8,10.86,10.99,11.07,11.12
AGI,6.51,6.66,6.73,6.76,6.73
AGM,78.24,78.87,77.46,76.56,76.8
AGN,163.58,170.32,170.14,171.58,172.29
AGO,33.87,34.03,33.27,33.81,33.82
AGR,50.58,50.11,49.5,48.96,48.73
AGRO,10.34,10.34,10.56,10.51,10.35
AGX,45,46.35,45.5,45.35,45.75
AHC,4.8,4.9,4.8,4.8,4.85
AHH,15.53,15.53,15.4,15.13,15.07
AHL,40.6,40.15,40.3,40.5,40
AHT,6.73,6.83,6.6,6.51,6.57
AI,11.78,11.78,11.67,11.73,11.75
AIC,24.24,24.16,24.3,24.39,24.46
AIF,15.75,15.78,15.82,15.8,15.77
AIG,59.58,59.5,60.16,60.4,60.65
AIN,61.45,62.05,61.7,62.3,62.5
AIR,39.29,39.45,39.14,38.75,38.83
AIT,68.1,67.95,69.4,69.85,70.4
AIV,43.71,43.45,43.51,42.82,42.56
AIW,24.435,24.5,24.5,24.75,24.75
AIY,26.07,25.69,25.95,25.69,25.84
AIZ,100.84,99.23,99.51,100.05,101.31
AJG,63.28,62.17,62.64,63.22,63.51
AJRD,31.2,31.16,30.68,30.74,31.14
AJX,13.82,13.9,13.9,13.88,13.87
AJXA,25.38,25.35,25.35,25.32,25.32
AKR,27.36,27.75,27.46,26.86,26.78
AKS,5.66,6.24,6.34,6.55,6.61
AL,48.09,48.03,48.19,47.96,48.45
