Name,Company,Pay,Age
Richard D Fairbank,Capital One Financial,24942e4,>=50
Terry S Semel,Yahoo,230555e3,>=50
Henry R Silverman,Cendant,13996e4,>=50
Bruce Karatz,KB Home,13553e4,>=50
Richard S Fuld Jr,Lehman Bros Holdings,12267e4,>=50
Ray R Irani,Occidental Petroleum,8073e4,>=50
Lawrence J Ellison,Oracle,7533e4,>=50
John W Thompson,Symantec,7184e4,>=50
Edwin M Crawford,Caremark Rx,6966e4,>=50
Angelo R Mozilo,Countrywide Financial,68955e3,>=50
John T Chambers,Cisco Systems,6299e4,>=50
R Chad Dreier,Ryland Group,5647e4,>=50
Lew Frankfort,Coach,5599e4,>=50
Ara K Hovnanian,Hovnanian Enterprises,4783e4,<50
John G Drosdick,Sunoco,4619e4,>=50
Robert I Toll,Toll Brothers,4131e4,>=50
Robert J Ulrich,Target,39635e3,>=50
Kevin B Rollins,Dell,39315e3,>=50
Clarence P Cazalot Jr,Marathon Oil,3748e4,>=50
David C Novak,Yum Brands,3742e4,>=50
Mark G Papa,EOG Resources,3654e4,>=50
Henri A Termeer,Genzyme,3638e4,>=50
Richard C Adkerson,Freeport Copper,3541e4,>=50
Kevin W Sharer,Amgen,3449e4,>=50
Jay Sugarman,IStar Financial,32935000.000000004,<50
George David,United Technologies,32729999.999999996,>=50
Bob R Simpson,XTO Energy,32189999.999999996,>=50
J Terrence Lanni,MGM Mirage,3154e4,>=50
Paul E Jacobs,Qualcomm,31436e3,>=50
Stephen F Bollenbach,Hilton Hotels,31435e3,>=50
James J Mulva,ConocoPhillips,3134e4,>=50
John J Mack,Morgan Stanley,3123e4,>=50
Ronald A Williams,Aetna,30866e3,>=50
David J Lesar,Halliburton,2936e4,>=50
H Edward Hanway,Cigna,2882e4,>=50
James E Cayne,Bear Stearns Cos,284e5,>=50
Daniel P Amos,Aflac,2797e4,>=50
Kent J Thiry,DaVita,27885e3,>=50
John W Rowe,Exelon,269e5,>=50
James M Cornelius,Guidant,2518e4,>=50
John B Hess,Amerada Hess,249e5,>=50
Harold W McGraw III,McGraw-Hill Cos,2472e4,>=50
Michael J Ward,CSX,2381e4,>=50
K Rupert Murdoch,News Corp,2364e4,>=50
Paul M Montrone,Fisher Scientific,2343e4,>=50
John C Martin,Gilead Sciences,2286e4,>=50
Robert L Nardelli,Home Depot,22805e3,>=50
Stuart A Miller,Lennar,2253e4,<50
E Stanley O'Neal,Merrill Lynch,2241e4,>=50
J Raymond Elliott,Zimmer Holdings,2239e4,>=50
Charles R Schwab,Charles Schwab,222e5,>=50
Henry C Duques,First Data,2205e4,>=50
Thomas E Freston,Viacom,NA,>=50
Marion O Sandler,Golden West Finl,2174e4,>=50
Ramani Ayer,Hartford Finl Service,215e5,>=50
Samuel J Palmisano,IBM,213e5,>=50
Paul C Saville,NVR,2023e4,>=50
Leslie Moonves,CBS,NA,>=50
Charles O Prince,Citigroup,1994e4,>=50
Lewis B Campbell,Textron,1993e4,>=50
J Willard Marriott Jr,Marriott Intl,1971e4,>=50
Ronald L Sargent,Staples,1965e4,>=50
Steven A Burd,Safeway,19475e3,>=50
Edward E Whitacre Jr,AT&T,1946e4,>=50
Gary D Forsee,Sprint Nextel,1942e4,>=50
Kenneth I Chenault,American Express,1928e4,>=50
Jeffrey R Immelt,General Electric,1923e4,>=50
William P Foley II,Fidelity National Finl,18765e3,>=50
Stephen W Sanger,General Mills,1861e4,>=50
Donald J Tomnitz,DR Horton,1824e4,>=50
Henry A McKinnell,Pfizer,1813e4,>=50
Eli Harari,SanDisk,1812e4,>=50
Thomas M Ryan,CVS,18e6,>=50
R Scot Sellers,Archstone-Smith,1782e4,<50
Edward M Liddy,Allstate,1779e4,>=50
Scott A Wolstein,Developers Diversified,1754e4,>=50
John E Bryson,Edison International,171e5,>=50
Louis C Camilleri,Altria Group,1701e4,>=50
Alan G Lafley,Procter & Gamble,1687e4,>=50
James E Rohr,PNC Financial Services,1677e4,>=50
Henry M Paulson Jr,Goldman Sachs Group,16399999.999999998,>=50
Joseph Neubauer,Aramark,1616e4,>=50
Hugh Grant,Monsanto,1611e4,<50
Michael W Perry,IndyMac Bancorp,1592e4,<50
Dan F Smith,Lyondell Chemical,1561e4,>=50
Arthur F Ryan,Prudential Financial,1561e4,>=50
E James Ferland,Pub Svc Enterprise,1554e4,>=50
Raymond A Mason,Legg Mason,1537e4,>=50
Richard M Kovacevich,Wells Fargo,1516e4,>=50
Thomas P Mac Mahon,Laboratory Corp Amer,15155e3,>=50
Mark Hurd,Hewlett-Packard,1514e4,<50
Robert K Cole,New Century Financial,1463e4,>=50
G Steven Farris,Apache,1444e4,>=50
Ralph Lauren,Polo Ralph Lauren,1436e4,>=50
George A Roche,T Rowe Price,1407e4,>=50
Alexander M Cutler,Eaton,1402e4,>=50
F Duane Ackerman,BellSouth,1397e4,>=50
J Steven Whisler,Phelps Dodge,13855e3,>=50
Kerry K Killinger,Washington Mutual,1376e4,>=50
Douglas L Rock,Smith International,1364e4,>=50
William D Zollars,YRC Worldwide,1362e4,>=50
John D Wren,Omnicom Group,13485e3,>=50
Thomas A Renyi,Bank of New York,1344e4,>=50
Brian L Roberts,Comcast,1336e4,<50
Steven S Reinemund,PepsiCo,1333e4,>=50
Matthew K Rose,Burlington Santa Fe,1327e4,<50
James J O'Brien,Ashland,1327e4,>=50
Scott G McNealy,Sun Microsystems,1309e4,>=50
William Wrigley Jr,Wm Wrigley Jr,13e6,<50
Sidney Taurel,Eli Lilly and Co,1295e4,>=50
J Brett Harvey,Consol Energy,1287e4,>=50
G Kennedy Thompson,Wachovia,1272e4,>=50
Van B Honeycutt,Computer Sciences,1269e4,>=50
Lawrence F Probst III,Electronic Arts,1259e4,>=50
Bruce Chizen,Adobe Systems,1255e4,>=50
Edward J Zander,Motorola,1254e4,>=50
Steve Odland,Office Depot,1253e4,<50
Arthur D Collins Jr,Medtronic,1224e4,>=50
John T Cahill,Pepsi Bottling Group,1223e4,<50
Robert A Iger,Walt Disney,12176e3,>=50
Reuben Mark,Colgate-Palmolive,1207e4,>=50
Joel W Johnson,Hormel Foods,1206e4,>=50
Michael D Fraizer,Genworth Financial,1177e4,<50
Alan L Boeckmann,Fluor,1156e4,>=50
Edward H Linde,Boston Properties,1155e4,>=50
Jon A Boscia,Lincoln National,11405e3,>=50
James C Mullen,Biogen Idec,11405e3,<50
Robert W Lane,Deere & Co,1111e4,>=50
James Dimon,JPMorgan Chase,11036e3,>=50
Martin J Sullivan,American Intl Group,11e6,>=50
William R Klesse,Valero Energy,10916e3,>=50
Joseph W Luter III,Smithfield Foods,108e5,>=50
William W McGuire,UnitedHealth Group,107e5,>=50
Richard D Parsons,Time Warner,1064e4,>=50
Mark S McAndrew,Torchmark,10506e3,>=50
H Lee Scott Jr,Wal-Mart Stores,10465e3,>=50
John T Schuessler,Wendy's International,104e5,>=50
Paul T Hanrahan,AES,103e5,<50
David N Farr,Emerson Electric,102e5,>=50
Larry C Glasscock,WellPoint,10165e3,>=50
R Lawrence Montgomery,Kohl's,1005e4,>=50
Anthony J Alexander,FirstEnergy,998e4,>=50
Gary W Loveman,Harrah's Entertain,994e4,<50
Robert J Genader,Ambac Financial Group,988e4,>=50
Timothy R Eller,Centex,978e4,>=50
Bruce A Smith,Tesoro,978e4,>=50
David M Cote,Honeywell,974e4,>=50
James T Hackett,Anadarko Petroleum,974e4,>=50
Keith D Nosbusch,Rockwell Automation,964e4,>=50
Norman H Wesley,Fortune Brands,96e5,>=50
L Patrick Hassey,Allegheny Technologies,941e4,>=50
J Barry Griswell,Principal Financial,938e4,>=50
Robert L Moody,American Natl Ins,936e4,>=50
Lawrence R Johnston,Albertsons,929e4,>=50
Mayo A Shattuck III,Constellation Energy,9085e3,>=50
William R Berkley,WR Berkley,907e4,>=50
Hector de J Ruiz,Advanced Micro,902e4,>=50
Jeffrey S Lorberbaum,Mohawk Industries,896e4,>=50
James M Cracchiolo,Ameriprise Financial,883e4,<50
Mitchell H Caplan,E-Trade Financial,8815e3,<50
David J O'Reilly,Chevron,88e5,>=50
Frederic M Poses,American Standard,878e4,>=50
James L Dolan,Cablevision NY Group,8715e3,>=50
Frederick W Smith,FedEx,867e4,>=50
Craig S Donohue,Chicago Mercantile,861e4,<50
Richard J Dugas Jr,Pulte Homes,859e4,<50
Ronald D Sugar,Northrop Grumman,856e4,>=50
Mark Donegan,Precision Castparts,854e4,<50
John H Hammergren,McKesson,848e4,<50
George A Schaefer Jr,Fifth Third Bancorp,846e4,>=50
Paul J Curlander,Lexmark International,846e4,>=50
William C Weldon,Johnson & Johnson,845e4,>=50
H Lawrence Culp Jr,Danaher,8369999.999999999,<50
John D Johns,Protective Life,827e4,>=50
Miles D White,Abbott Laboratories,824e4,>=50
