Date,Wind,Day,Quarter
2011-01-01 00:00:00,0.53,1,1.0
2011-01-02 00:00:00,2.13,2,1.0
2011-01-03 00:00:00,4.43,3,1.0
2011-01-04 00:00:00,0.43,4,1.0
2011-01-05 00:00:00,3.38,5,1.0
2011-01-06 00:00:00,0.82,6,1.0
2011-01-07 00:00:00,2.33,7,1.0
2011-01-08 00:00:00,2.01,8,1.0
2011-01-09 00:00:00,3.82,9,1.0
2011-01-10 00:00:00,2.39,10,1.0
2011-01-11 00:00:00,1.70,11,1.0
2011-01-12 00:00:00,3.76,12,1.0
2011-01-13 00:00:00,2.98,13,1.0
2011-01-14 00:00:00,1.59,14,1.0
2011-01-15 00:00:00,1.77,15,1.0
2011-01-16 00:00:00,4.03,16,1.0
2011-01-17 00:00:00,1.24,17,1.0
2011-01-18 00:00:00,3.13,18,1.0
2011-01-19 00:00:00,1.09,19,1.0
2011-01-20 00:00:00,1.01,20,1.0
2011-01-21 00:00:00,3.51,21,1.0
2011-01-22 00:00:00,1.25,22,1.0
2011-01-23 00:00:00,1.89,23,1.0
2011-01-24 00:00:00,0.93,24,1.0
2011-01-25 00:00:00,0.63,25,1.0
2011-01-26 00:00:00,1.26,26,1.0
2011-01-27 00:00:00,2.54,27,1.0
2011-01-28 00:00:00,0.25,28,1.0
2011-01-29 00:00:00,0.62,29,1.0
2011-01-30 00:00:00,2.25,30,1.0
2011-01-31 00:00:00,2.19,31,1.0
2011-02-01 00:00:00,1.09,32,1.0
2011-02-02 00:00:00,5.15,33,1.0
2011-02-03 00:00:00,2.66,34,1.0
2011-02-04 00:00:00,1.16,35,1.0
2011-02-05 00:00:00,1.64,36,1.0
2011-02-06 00:00:00,3.93,37,1.0
2011-02-07 00:00:00,0.68,38,1.0
2011-02-08 00:00:00,3.10,39,1.0
2011-02-09 00:00:00,2.58,40,1.0
2011-02-10 00:00:00,2.65,41,1.0
2011-02-11 00:00:00,0.95,42,1.0
2011-02-12 00:00:00,2.55,43,1.0
2011-02-13 00:00:00,2.07,44,1.0
2011-02-14 00:00:00,3.18,45,1.0
2011-02-15 00:00:00,3.94,46,1.0
2011-02-16 00:00:00,1.13,47,1.0
2011-02-17 00:00:00,0.06,48,1.0
2011-02-18 00:00:00,1.52,49,1.0
2011-02-19 00:00:00,6.73,50,1.0
2011-02-20 00:00:00,3.30,51,1.0
2011-02-21 00:00:00,2.35,52,1.0
2011-02-22 00:00:00,2.67,53,1.0
2011-02-23 00:00:00,1.52,54,1.0
2011-02-24 00:00:00,1.41,55,1.0
2011-02-25 00:00:00,0.02,56,1.0
2011-02-26 00:00:00,0.88,57,1.0
2011-02-27 00:00:00,1.25,58,1.0
2011-02-28 00:00:00,4.89,59,1.0
2011-03-01 00:00:00,2.84,60,1.0
2011-03-02 00:00:00,3.40,61,1.0
2011-03-03 00:00:00,2.53,62,1.0
2011-03-04 00:00:00,2.94,63,1.0
2011-03-05 00:00:00,4.46,64,1.0
2011-03-06 00:00:00,2.41,65,1.0
2011-03-07 00:00:00,0.63,66,1.0
2011-03-08 00:00:00,0.21,67,1.0
2011-03-09 00:00:00,3.86,68,1.0
2011-03-10 00:00:00,5.21,69,1.0
2011-03-11 00:00:00,2.65,70,1.0
2011-03-12 00:00:00,1.28,71,1.0
2011-03-13 00:00:00,3.04,72,1.0
2011-03-14 00:00:00,1.35,73,1.0
2011-03-15 00:00:00,1.63,74,1.0
2011-03-16 00:00:00,1.78,75,1.0
2011-03-17 00:00:00,1.52,76,1.0
2011-03-18 00:00:00,2.37,77,1.0
2011-03-19 00:00:00,3.18,78,1.0
2011-03-20 00:00:00,0.83,79,1.0
2011-03-21 00:00:00,2.45,80,1.0
2011-03-22 00:00:00,2.93,81,1.0
2011-03-23 00:00:00,1.64,82,1.0
2011-03-24 00:00:00,2.49,83,1.0
2011-03-25 00:00:00,2.79,84,1.0
2011-03-26 00:00:00,3.63,85,1.0
2011-03-27 00:00:00,3.54,86,1.0
2011-03-28 00:00:00,5.56,87,1.0
2011-03-29 00:00:00,2.67,88,1.0
2011-03-30 02:00:00,1.54,89,1.0
2011-03-31 00:00:00,2.20,90,1.0
2011-04-01 00:00:00,1.97,91,2.0
2011-04-02 00:00:00,3.68,92,2.0
2011-04-03 00:00:00,4.43,93,2.0
2011-04-04 00:00:00,2.12,94,2.0
2011-04-05 00:00:00,3.37,95,2.0
2011-04-06 00:00:00,3.62,96,2.0
2011-04-07 00:00:00,1.20,97,2.0
2011-04-08 00:00:00,0.55,98,2.0
2011-04-09 00:00:00,0.73,99,2.0
2011-04-10 00:00:00,2.85,100,2.0
2011-04-11 00:00:00,3.77,101,2.0
2011-04-12 00:00:00,3.81,102,2.0
2011-04-13 00:00:00,4.26,103,2.0
2011-04-14 00:00:00,3.07,104,2.0
2011-04-15 00:00:00,1.86,105,2.0
2011-04-16 00:00:00,5.47,106,2.0
2011-04-17 00:00:00,3.20,107,2.0
2011-04-18 00:00:00,3.61,108,2.0
2011-04-19 00:00:00,1.75,109,2.0
2011-04-20 00:00:00,4.99,110,2.0
2011-04-21 00:00:00,4.06,111,2.0
2011-04-22 00:00:00,1.45,112,2.0
2011-04-23 00:00:00,3.07,113,2.0
2011-04-24 00:00:00,1.62,114,2.0
