gender,local,height,phone,facebook,youtube,shoe,postcode,boxoffice
Female,Non-Singaporean,158,18,101,935141178,24.7,3,2006788
Female,Singaporean,158,8,9,1000000,40,7,
Female,Singaporean,167,2,0,28000,25.4,24,174532921
Male,Non-Singaporean,178,41,125,2800000,27.4,50,0
Male,Non-Singaporean,172,78,,113036,28,,97822171
Male,Non-Singaporean,176,,1300,127000,26.6,,516962
Female,Singaporean,161,67,0,70000,23.9,5,25544867
Male,Non-Singaporean,182,56,21900,194661,28,0,"217326974	"
Male,Non-Singaporean,180,78,9,25695510,29.4,6,330455270
Male,Singaporean,179,73,37,208000,28.7,0,29208403
Female,Singaporean,155,64,94,63444,23.1,6,334191110
Female,Singaporean,170,3,0,290411,28.7,1,317871467
Male,Singaporean,169,74,0,8379384,27.4,74,"2796160402	"
Female,Singaporean,160,88,0,52858,38,,45445109
Female,Singaporean,156,88,7,434000,38,1,159287539
Female,Singaporean,164,45,5,1200000,38,8,353969665
Male,Singaporean,184,7,87,71051,30.7,4,188020017
Female,Singaporean,168,72,,10658405,23.9,4,"1117827596	"
Male,Singaporean,175,39,2,50109,28,1,186848418
Male,Non-Singaporean,179,12,409,4108611,28.7,10,217049603
Male,Singaporean,170,2,58,213318,26.6,56,43254409
Female,Non-Singaporean,180,89,8,5000,25.9,0,1128274794
Male,Non-Singaporean,179,21,25,482793,28,0,"431605346	 "
Male,Non-Singaporean,167,50,7,3500000,40,4,160799185
Female,Singaporean,162,69,26300,92000,24.7,2,285761243
Female,Singaporean,161,87,,2834908,24.7,0,
Male,Singaporean,187,14,67,123000,30.8,4,377845905
Male,Non-Singaporean,180,98,35,82421843,28.5,1,28341469
Female,Non-Singaporean,166,28,,1311086561,25.4,6,222527828
Male,Singaporean,189,62,0,246000,29.4,7,"28341469	"
Male,Singaporean,155,87,11,65000000,25.4,5,124740460
Male,Other or prefer not to say,180,75,25,328119,28,0,"934546568	 "
Female,Non-Singaporean,162.56,,,2910547,24.7,4,38178166
Male,Non-Singaporean,179,76,,47000,26.6,0,17742948
Female,Singaporean,159,8,,33000000,24.7,47,25544867
Male,Non-Singaporean,168,9,20000,4000000,25.9,1,1000000
Male,Non-Singaporean,181,16,1,5600000,27.4,5,136801374
Female,Singaporean,165,56,32,5141492,24.7,6,9651611
Male,Non-Singaporean,176,,26,,26.6,0,2796258402
Female,Singaporean,160,0,18,301000,24.7,1,151101803
Female,Non-Singaporean,162,80,21,4914,23.9,0,151101803
Male,Non-Singaporean,190,87,983,190000,31,,96327295
Female,Non-Singaporean,181,52,10236,53248,26.6,0,354533665
Male,Non-Singaporean,171,52,,5600000,27.4,6,2197694
Male,Singaporean,172,55,,1212161,26.6,30,373585825
Male,Non-Singaporean,178,27,0,1800000,28.3,70,12532777
Female,Singaporean,163,33,132,312000,38,8,243006146
Male,Singaporean,177,24,211,16282,26,28.7,2048359754
Male,Singaporean,173,33,1800,180843,28,72,203388186
Female,Non-Singaporean,155,65,21,3000000,23.1,79,"2796258402	 "
Female,Non-Singaporean,159,16,35,790000,25,2,48958273
Female,Non-Singaporean,166,47,3800,19000,25.4,,1564474294
Female,Singaporean,154,37,12,1600000,23.1,3,356461711
Male,Non-Singaporean,183,72,772,1100000,28.7,,968483777
Male,Non-Singaporean,190,29,30,764000,29.4,6,2789000000
Female,Non-Singaporean,165,81,11,100100,27.4,2,91125683
Female,Singaporean,150,4,6,11000,23.9,35,7412216
Female,Non-Singaporean,173,49,,,27.4,,
Female,Singaporean,159,16,0,1700000,24.7,3,858357001
Male,Singaporean,167,93,0,49000,28,3,292576195
Female,Non-Singaporean,158,58,52,249000,23.1,4,523474294
Female,Singaporean,160,80,62,1092,23.9,5,6758416
Female,Non-Singaporean,167,46,35,2225356,25,8,70831760
Male,Singaporean,174,80,693,593000,28,3,"218613188	 "
Male,Non-Singaporean,184,,27,9650982,27.4,,334900000
Female,Singaporean,161,14,37,715227,24.7,9,35893537
Female,Singaporean,156,11,13,7055512,24.7,2,59301324
Female,Non-Singaporean,160,59,115,35000000,38,1,317871467
Female,Singaporean,163,18,1,755000,39,3,12427717
Male,Singaporean,165,25,0,437461,27.4,54,341268248
Female,Singaporean,158,88,0,180,25.9,1,59301324
Male,Non-Singaporean,176,72,50,753000,25.9,0,6532874
Female,Singaporean,153,16,0,25000,37,42,330455270
Male,Non-Singaporean,181,85,12,2045201,28.5,0,24343673
Female,Non-Singaporean,158,90,125561,188246,24.5,0,2022115
Female,Non-Singaporean,156,64,0,85000000,21.5,8,12427717
"Neither, both, it depends, something else, or prefer not to say",Singaporean,167,0,,2291,25.9,1,141340
Male,Non-Singaporean,170,80,47,989470,23.1,1,206445564
Female,Non-Singaporean,163,87,39,34187408,24.7,7,18095701
Male,Singaporean,178,70,19,1100000,28,1,59301324
Male,Non-Singaporean,182,38,500,220000,38,61,28
Female,Singaporean,165,34,,938000,39.5,4,5576743
Female,Singaporean,163,67,4,5000000,25.4,1,96898818
Female,Singaporean,170,28,0,478020,25.9,1,141579773
Male,Singaporean,169,49,8,3539428,25.9,4,2250213
Male,Non-Singaporean,177,75,725,532257914,28,50,"5017246	"
Male,Singaporean,175,63,0,53574,28.7,5,5017246
Male,Non-Singaporean,158,72,5134,2300000,25.9,6,"321455689	 "
Female,Singaporean,166,62,58,1345770,24.7,1,85336277
Male,Singaporean,171,28,90,7700000,27.4,1,402828120
Female,Singaporean,168,53,,30000000,23.9,9,430486899
"Neither, both, it depends, something else, or prefer not to say",Singaporean,162,22,0,194000,25.9,3,24164400
Male,Non-Singaporean,173,28,100,,27.4,,
Female,Singaporean,167,37,37,45075189,26.6,5,91125683
Female,Non-Singaporean,160,53,60,8800000,25.4,0,336472
Male,Singaporean,176,48,0,2100000,27.4,6,2500000000
Female,Non-Singaporean,160,35,82,560966,23.9,2,404915312
Female,Other or prefer not to say,168,,120,18,22.8,7,144130063
Female,Singaporean,158,58,,8500,24.7,3,5535405
Female,Non-Singaporean,151,31,16000,26000,38,2,38178166
Male,Non-Singaporean,165,54,,11695820,27.4,13,975051288
Female,Singaporean,166,71,5,33243,25.4,6,430486899
Male,Singaporean,183,62,,5000000,28.7,2,176591618
Female,Singaporean,155,33,4,100000,23.1,19,
Male,Singaporean,179,79,,22000,27.4,1,305413918
Male,Non-Singaporean,174,68,28128,9800000,28.7,9,2199787
Male,Non-Singaporean,171,86,437,183652,25.9,35,188020706
Male,Singaporean,171.6,96,56,3200000,28.7,83,535234033
Male,Singaporean,173,86,115,2200000,27.4,20,20000000
Male,Singaporean,164,27,0,5500000,27.4,85,176654505
Female,Singaporean,163,9,1,286000,39,92,"13092000	"
Male,Singaporean,186,85,9022,145459,30,6,"1346913161	 "
Male,Singaporean,170,0,30,700000,27.4,4,370782930
Female,Non-Singaporean,163,53,0,6541864,25.9,9,600200
Female,Non-Singaporean,174,97,79,7300000,25.4,0,28341469
Male,Non-Singaporean,173,28,5,120000,29.4,69,858357001
Female,Singaporean,169,15,43,290000,25.4,5,128261724
Female,Non-Singaporean,165,3,7,6091272,23.9,2,408010692
Female,Non-Singaporean,155,28,235,2500000,22.6,0,148809770
Female,Singaporean,161,87,18,16098,23.9,0,357000000
Female,Singaporean,160,20,117,2482217,24.7,4,1565885
Male,Non-Singaporean,171.7,57,0,3459821,27.4,9,100014699
Female,Singaporean,163,38,0,0,25.99,,19068240
Male,Singaporean,165,20,12,300000,27.4,9,188020017
Male,Non-Singaporean,167,37,2300,2000000,27.4,1,136000000
Male,Non-Singaporean,188,59,100000,5000000,28,9,1564474294
Female,Singaporean,165,86,15,2600000,25.4,7,"254134910	 "
Male,Non-Singaporean,180,65,233,200000,28,3,1000000000
Male,Singaporean,164,47,56,206472531,24.7,7,"277296953	 "
Male,Singaporean,173,61,25,9300,27,9,48958273
Female,Non-Singaporean,164,2,140,50000,23.9,5,2900000
Female,Non-Singaporean,164,85,0,10261401,24.7,28,137400141
Female,Singaporean,166,11,0,666956850,24.7,3,363070709
Male,Singaporean,183,60,0,1000000,40,9,144105346
Female,Singaporean,158,88,1,690000000,25.4,7,317871467
Male,Singaporean,177,95,0,250000,27.4,97,133375846
Male,Non-Singaporean,183,91,41,4011446,29.4,,520000
Male,Other or prefer not to say,174,51,12,600000,28,15,51438175
Female,Non-Singaporean,158,69,266,624000,24.7,1,56468410
Female,Singaporean,161,90,,1100,23,6,261441092
Female,Non-Singaporean,160,,35,1046931,24.7,0,30857814
Female,Non-Singaporean,167,,7,27000000,25.4,1,760507625
Male,Singaporean,170,84,,,28.7,3,
Male,Non-Singaporean,176,21,0,548339,28,74,151101803
Male,Singaporean,166,1,1,250000000,27.4,7,659363944
"Neither, both, it depends, something else, or prefer not to say",Non-Singaporean,170,10,115,358040,28,4,5017246
Male,Singaporean,163,11,0,910268,26.6,43,0
